nom_commune,code_insee,type_bien,loyer_m2,loyer_m2_min,loyer_m2_max,niveau_prediction,nb_obs_commune,r2_adj,population,superficie_km2,region,departement,latitude,longitude
Les Pennes-Mirabeau,13071,Appartement,15.2965773220505,12.4497616297445,18.7943580550523,commune,1146,0.776800756810127,22161,34,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,43.4,5.34
Saint-Chamond,42207,Appartement,9.3399202042687,6.98242568088354,12.4933817284924,commune,3377,0.662530534916305,35068,55,Auvergne-Rhône-Alpes,Loire,45.476,4.513
Lambersart,59328,Appartement,13.8456290287084,11.250650197209,17.0391435019611,commune,2552,0.83211812634937,27121,6,Hauts-de-France,Nord,50.647,3.021
Plaisir,78490,Appartement,16.0532395245221,13.7259133936235,18.7751803352773,commune,2055,0.849705212175664,31375,18,Île-de-France,Yvelines,48.817,1.947
Neuilly-sur-Marne,93050,Appartement,16.4669113083961,13.5293716273393,20.0422588356314,commune,1496,0.829906392276584,37531,7,Île-de-France,Seine-Saint-Denis,48.857,2.528
Cambrai,59122,Appartement,10.2718751858581,8.42864211064318,12.5181990703596,commune,6675,0.791337743516629,31425,18,Hauts-de-France,Nord,50.176,3.235
Compiègne,60159,Appartement,13.2396763905601,10.6848093335284,16.4054430411507,commune,8610,0.855867037054193,40394,53,Hauts-de-France,Oise,49.418,2.826
Villejuif,94076,Appartement,20.1353546063921,15.0829474504491,26.8801907887761,commune,3916,0.741526078375846,57753,5,Île-de-France,Val-de-Marne,48.792,2.363
Athis-Mons,91027,Appartement,16.2896947187761,13.689329923332,19.3840133532508,commune,2168,0.857267550931043,36222,9,Île-de-France,Essonne,48.708,2.389
Combs-la-Ville,77122,Appartement,15.5178088018132,13.4890412552774,17.8517053549244,commune,1270,0.863922282756713,22240,15,Île-de-France,Seine-et-Marne,48.665,2.565
Calais,62193,Appartement,11.3867668018896,8.638731550919,15.0089694808055,commune,7393,0.763070861683169,67380,33,Hauts-de-France,Pas-de-Calais,50.953,1.855
Sarreguemines,57631,Appartement,9.65847408908347,7.7803555188767,11.9899561791445,commune,3988,0.763243173183936,20624,30,Grand Est,Moselle,49.11,7.07
Saint-Ouen-sur-Seine,93070,Appartement,20.1029747137832,15.9523283358546,25.3335803924423,commune,3660,0.851893782406899,53207,4,Île-de-France,Seine-Saint-Denis,48.912,2.334
Tournefeuille,31557,Appartement,12.2726425258128,10.8424896962529,13.8914362647207,commune,3044,0.892320893295604,29439,18,Occitanie,Haute-Garonne,43.583,1.347
Lunel,34145,Appartement,12.0565584439633,9.94428480164786,14.6175018527842,commune,2379,0.808405194310595,26185,24,Occitanie,Hérault,43.679,4.132
Dax,40088,Appartement,12.0990454715032,9.32898908364474,15.6916146014301,commune,3677,0.771523086522379,21347,20,Nouvelle-Aquitaine,Landes,43.709,-1.052
Le Kremlin-Bicêtre,94043,Appartement,20.8996590856846,16.9631363671316,25.7497045619577,commune,2369,0.873691761174506,24380,2,Île-de-France,Val-de-Marne,48.812,2.357
Eaubonne,95203,Appartement,17.1991832076775,14.2227530103773,20.7984982088506,commune,1223,0.805149237237891,25373,4,Île-de-France,Val-d'Oise,48.991,2.28
Clamart,92023,Appartement,20.819899912131,17.0282528607252,25.4558254388461,commune,3807,0.890533796857141,54491,9,Île-de-France,Hauts-de-Seine,48.801,2.263
Cenon,33119,Appartement,12.74075290099,10.8777872761006,14.9227761459106,commune,2166,0.852542926002258,26778,6,Nouvelle-Aquitaine,Gironde,44.858,-0.531
Villiers-sur-Marne,94079,Appartement,17.3635844027153,14.4675600346853,20.8393165528534,commune,2695,0.841882078433859,30669,4,Île-de-France,Val-de-Marne,48.826,2.541
Meaux,77284,Appartement,15.1652694776599,12.699453690451,18.1098655057087,commune,6276,0.835635856596671,55616,15,Île-de-France,Seine-et-Marne,48.958,2.878
Lormont,33249,Appartement,12.5649233600297,10.7504077394618,14.6857033583849,commune,2488,0.866888665467526,23291,8,Nouvelle-Aquitaine,Gironde,44.88,-0.523
Armentières,59017,Appartement,11.6667725084753,9.73693120360699,13.9791047012936,commune,3488,0.769614324250608,25581,6,Hauts-de-France,Nord,50.687,2.882
La Teste-de-Buch,33529,Appartement,13.4439704165864,10.8351155625338,16.6809794984582,commune,1939,0.793034796929986,26556,178,Nouvelle-Aquitaine,Gironde,44.631,-1.149
Lens,62498,Appartement,11.0193429846446,8.94742994973427,13.5710388899822,commune,4453,0.794107561390429,32618,12,Hauts-de-France,Pas-de-Calais,50.429,2.832
Hérouville-Saint-Clair,14327,Appartement,11.7120075661691,9.98241705086838,13.7412733340038,commune,3010,0.88486607263827,22227,11,Normandie,Calvados,49.204,-0.334
Boulogne-sur-Mer,62160,Appartement,10.0982225050757,8.17480580679919,12.4741920691501,commune,8660,0.8082842945766,40910,8,Hauts-de-France,Pas-de-Calais,50.725,1.613
